Geneid	Chrom	Start	End	Length	chr.1	start.1	end.1	width.1	strand.1	genes	GeneSymbol	annotation
Interval_106566	chr8	9975373	9975580	208	8	9969049	9977686	8638	-	ENSMUSG00000049717	Lig4	Promoter (<=1kb)
Interval_107348	chr8	25009470	25010238	769	8	24949611	25016927	67317	-	ENSMUSG00000031555	Adam9	Intron (ENSMUST00000084035.11/ENSMUSG00000031555.15, intron 1 of 21)
Interval_107621	chr8	33615942	33616634	693	8	33599625	33619441	19817	+	ENSMUSG00000009630	Ppp2cb	Intron (ENSMUST00000009774.10/ENSMUSG00000009630.10, intron 5 of 6)
Interval_107776	chr8	35196130	35196839	710	8	35179103	35183886	4784	-	ENSMUSG00000110314	Gm45625	Distal Intergenic
Interval_107859	chr8	36172957	36174039	1083	8	36174140	36176047	1908	-	ENSMUSG00000110321	Gm39164	Promoter (1-2kb)
Interval_107860	chr8	36175811	36176447	637	8	36176141	36178423	2283	+	ENSMUSG00000110116	4933430A20Rik	Promoter (<=1kb)
Interval_108218	chr8	53607057	53607974	918	8	53586867	53639065	52199	-	ENSMUSG00000039396	Neil3	Exon (ENSMUST00000047768.10/ENSMUSG00000039396.11, exon 5 of 10)
Interval_108355	chr8	61079054	61079622	569	8	60993195	61131346	138152	+	ENSMUSG00000031644	Nek1	Intron (ENSMUST00000120689.7/ENSMUSG00000031644.19, intron 21 of 33)
Interval_108753	chr8	70752137	70753465	1329	8	70723720	70751186	27467	+	ENSMUSG00000031842	Pde4c	Promoter (1-2kb)
Interval_109083	chr8	75151044	75151652	609	8	75109569	75128439	18871	+	ENSMUSG00000005410	Mcm5	Distal Intergenic
Interval_10920	chr10	59936166	59936863	698	10	59949669	59951834	2166	-	ENSMUSG00000020108	Ddit4	Distal Intergenic
Interval_109697	chr8	86318478	86319006	529	8	86292501	86292598	98	+	ENSMUSG00000065737	Gm24490	Distal Intergenic
Interval_109928	chr8	90831130	90831473	344	8	90828352	91054516	226165	+	ENSMUSG00000056608	Chd9	Promoter (2-3kb)
Interval_111038	chr8	114118515	114119174	660	8	114133557	114154739	21183	+	ENSMUSG00000031767	Nudt7	Distal Intergenic
Interval_111576	chr8	120416164	120417543	1380	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_111764	chr8	121697544	121697972	429	8	119910841	124345722	4434882	+	ENSMUSG00000092329	Galnt2l	Intron (ENSMUST00000127664.1/ENSMUSG00000092329.1, intron 1 of 15)
Interval_112342	chr8	126528912	126529895	984	8	126566970	126590988	24019	+	ENSMUSG00000097060	Gm26759	Distal Intergenic
Interval_113257	chr9	22629014	22629620	607	9	22475715	22888280	412566	+	ENSMUSG00000035919	Bbs9	Exon (ENSMUST00000039798.15/ENSMUSG00000035919.16, exon 10 of 22)
Interval_113527	chr9	32615770	32616350	581	9	32613452	32629557	16106	+	ENSMUSG00000110844	Gm47680	Distal Intergenic
Interval_113626	chr9	35186362	35187032	671	9	35184551	35200291	15741	-	ENSMUSG00000032041	Tirap	3' UTR
Interval_11366	chr10	67048927	67049661	735	10	67009189	67096945	87757	-	ENSMUSG00000019873	Reep3	Intron (ENSMUST00000020023.7/ENSMUSG00000019873.7, intron 2 of 7)
Interval_115226	chr9	61950875	61951683	809	9	61953481	62026856	73376	-	ENSMUSG00000032278	Paqr5	Distal Intergenic
Interval_115227	chr9	61960192	61960997	806	9	61953481	62026856	73376	-	ENSMUSG00000032278	Paqr5	Intron (ENSMUST00000135050.1/ENSMUSG00000032278.11, intron 4 of 4)
Interval_115352	chr9	63248233	63249076	844	9	63163768	63377902	214135	-	ENSMUSG00000058444	Map2k5	Intron (ENSMUST00000034920.9/ENSMUSG00000058444.7, intron 16 of 21)
Interval_115765	chr9	68974235	68974950	716	9	68653786	69388246	734461	+	ENSMUSG00000032238	Rora	Intron (ENSMUST00000034766.13/ENSMUSG00000032238.17, intron 1 of 10)
Interval_116373	chr9	80024537	80024901	365	9	79805094	80012851	207758	-	ENSMUSG00000034898	Filip1	Distal Intergenic
Interval_116376	chr9	80039338	80040505	1168	9	80037429	80037714	286	+	ENSMUSG00000088908	Gm25433	Promoter (1-2kb)
Interval_116379	chr9	80057486	80058440	955	9	80066903	80144953	78051	+	ENSMUSG00000034252	Senp6	Distal Intergenic
Interval_116498	chr9	83597949	83598622	674	9	83548327	83638801	90475	+	ENSMUSG00000032261	Sh3bgrl2	3' UTR
Interval_117156	chr9	102617754	102618066	313	9	102584588	102626534	41947	-	ENSMUSG00000032534	Cep63	Intron (ENSMUST00000093791.9/ENSMUSG00000032534.16, intron 5 of 16)
Interval_118010	chr9	114614268	114614770	503	9	114585878	114640184	54307	-	ENSMUSG00000056167	Cnot10	Intron (ENSMUST00000070117.6/ENSMUSG00000056167.6, intron 11 of 19)
Interval_118662	chr9	121760149	121761291	1143	9	121759330	121771742	12413	+	ENSMUSG00000013419	Zfp651	Promoter (<=1kb)
Interval_118765	chr9	122853675	122854196	522	9	122844529	122866006	21478	-	ENSMUSG00000047036	Zfp445	Exon (ENSMUST00000056467.7/ENSMUSG00000047036.7, exon 6 of 6)
Interval_119929	chrX	49284940	49285187	248	X	49009707	49288259	278553	-	ENSMUSG00000031109	Enox2	Intron (ENSMUST00000114914.7/ENSMUSG00000031109.16, intron 2 of 15)
Interval_120028	chrX	56462164	56462956	793	X	56454857	56507843	52987	+	ENSMUSG00000035967	Ints6l	Intron (ENSMUST00000134138.1/ENSMUSG00000035967.15, intron 2 of 15)
Interval_120058	chrX	57324676	57325219	544	X	57231485	57338729	107245	-	ENSMUSG00000031133	Arhgef6	Promoter (1-2kb)
Interval_120160	chrX	71814270	71814669	400	X	71815924	71839757	23834	+	ENSMUSG00000073131	Vma21	Promoter (1-2kb)
Interval_121733	chrX	167188701	167190153	1453	X	167207093	167209315	2223	-	ENSMUSG00000049775	Tmsb4x	Distal Intergenic
Interval_121791	chrX	169213205	169214107	903	X	168795099	169304435	509337	+	ENSMUSG00000031355	Arhgap6	Intron (ENSMUST00000033721.12/ENSMUSG00000031355.16, intron 1 of 12)
Interval_1247	chr1	42867110	42867534	425	1	42851233	42905683	54451	+	ENSMUSG00000060679	Mrps9	Promoter (<=1kb)
Interval_12971	chr10	88584286	88585070	785	10	88518279	88605152	86874	-	ENSMUSG00000020061	Mybpc1	Intron (ENSMUST00000121629.7/ENSMUSG00000020061.17, intron 2 of 28)
Interval_13738	chr10	99379246	99379678	433	10	99298888	99423047	124160	+	ENSMUSG00000044633	B530045E10Rik	Intron (ENSMUST00000189035.1/ENSMUSG00000044633.3, intron 1 of 2)
Interval_14020	chr10	111777476	111778249	774	10	111725184	111843048	117865	+	ENSMUSG00000112430	Gm30624	Distal Intergenic
Interval_14518	chr10	120198564	120199064	501	10	120141648	120202130	60483	-	ENSMUSG00000020227	Irak3	Promoter (2-3kb)
Interval_1481	chr1	52501726	52502103	378	1	52457294	52500679	43386	-	ENSMUSG00000002881	Nab1	Promoter (1-2kb)
Interval_1482	chr1	52511472	52512341	870	1	52503234	52504229	996	-	ENSMUSG00000097833	Gm5976	Distal Intergenic
Interval_1488	chr1	52580231	52580791	561	1	52522902	52582679	59778	+	ENSMUSG00000100120	Gm553	Promoter (<=1kb)
Interval_1577	chr1	54377808	54378725	918	1	54250683	54368727	118045	+	ENSMUSG00000025983	Ccdc150	Distal Intergenic
Interval_15800	chr11	11658606	11659646	1041	11	11642203	11685400	43198	-	ENSMUSG00000085652	Gm11999	Intron (ENSMUST00000145789.1/ENSMUSG00000085652.1, intron 1 of 3)
Interval_1623	chr1	54875010	54875423	414	1	54645340	54926387	281048	-	ENSMUSG00000052331	Ankrd44	Intron (ENSMUST00000179030.7/ENSMUSG00000052331.14, intron 1 of 27)
Interval_16566	chr11	31812262	31812908	647	11	31790113	31824524	34412	-	ENSMUSG00000085772	D630024D03Rik	Intron (ENSMUST00000129425.7/ENSMUSG00000085772.7, intron 1 of 3)
Interval_17118	chr11	45089171	45090122	952	11	45102866	45116928	14063	-	ENSMUSG00000084773	Gm12159	Distal Intergenic
Interval_17355	chr11	49208713	49209633	921	11	49203292	49218816	15525	+	ENSMUSG00000046311	Zfp62	Intron (ENSMUST00000109198.7/ENSMUSG00000046311.13, intron 1 of 3)
Interval_1738	chr1	57594351	57595390	1040	1	57561298	57564051	2754	-	ENSMUSG00000101151	Gm17929	Distal Intergenic
Interval_17390	chr11	49780199	49780970	772	11	49776499	49776877	379	+	ENSMUSG00000081934	Gm12193	Distal Intergenic
Interval_17406	chr11	49918308	49919763	1456	11	49901835	49980994	79160	+	ENSMUSG00000020374	Rasgef1c	Intron (ENSMUST00000093141.11/ENSMUSG00000020374.16, intron 1 of 12)
Interval_18272	chr11	60742942	60744032	1091	11	60740058	60777365	37308	-	ENSMUSG00000002814	Top3a	Exon (ENSMUST00000002891.10/ENSMUSG00000002814.15, exon 17 of 19)
Interval_19427	chr11	77430877	77431551	675	11	77216287	77460220	243934	+	ENSMUSG00000037926	Ssh2	Exon (ENSMUST00000180554.1/ENSMUSG00000037926.15, exon 10 of 10)
Interval_19794	chr11	81739023	81739715	693	11	80880169	81968457	1088289	-	ENSMUSG00000020704	Asic2	Intron (ENSMUST00000066197.6/ENSMUSG00000020704.13, intron 1 of 9)
Interval_20011	chr11	83974664	83975577	914	11	83964428	84044578	80151	+	ENSMUSG00000034940	Synrg	Intron (ENSMUST00000049714.14/ENSMUSG00000034940.15, intron 2 of 21)
Interval_20029	chr11	84332365	84333588	1224	11	84129672	84401651	271980	+	ENSMUSG00000020532	Acaca	Intron (ENSMUST00000103201.7/ENSMUSG00000020532.18, intron 41 of 55)
Interval_20292	chr11	87689538	87690893	1356	11	87662722	87735539	72818	+	ENSMUSG00000034177	Rnf43	Intron (ENSMUST00000134684.7/ENSMUSG00000034177.15, intron 1 of 5)
Interval_21327	chr11	100897270	100898224	955	11	100885098	100939540	54443	-	ENSMUSG00000004040	Stat3	Promoter (<=1kb)
Interval_22191	chr11	110450062	110450715	654	11	110399122	110525522	126401	+	ENSMUSG00000020623	Map2k6	Intron (ENSMUST00000020949.11/ENSMUSG00000020623.11, intron 1 of 11)
Interval_22499	chr11	115131756	115132167	412	11	115116214	115133992	17779	-	ENSMUSG00000047798	Cd300lf	Promoter (1-2kb)
Interval_22551	chr11	115451767	115452406	640	11	115440545	115448270	7726	+	ENSMUSG00000070332	Trim80	Distal Intergenic
Interval_22552	chr11	115453333	115453774	442	11	115440545	115448270	7726	+	ENSMUSG00000070332	Trim80	Distal Intergenic
Interval_23838	chr12	15828548	15829380	833	12	15817003	15888155	71153	+	ENSMUSG00000097580	Gm5432	Intron (ENSMUST00000180759.1/ENSMUSG00000097580.1, intron 1 of 2)
Interval_23839	chr12	15832227	15832908	682	12	15817003	15888155	71153	+	ENSMUSG00000097580	Gm5432	Exon (ENSMUST00000180759.1/ENSMUSG00000097580.1, exon 2 of 3)
Interval_23900	chr12	16508811	16509864	1054	12	16535669	16646966	111298	-	ENSMUSG00000020593	Lpin1	Distal Intergenic
Interval_23956	chr12	16996947	16997547	601	12	16988648	17000408	11761	-	ENSMUSG00000045679	Pqlc3	Promoter (2-3kb)
Interval_24573	chr12	33097170	33097612	443	12	33033796	33092875	59080	-	ENSMUSG00000035860	Cdhr3	Distal Intergenic
Interval_24606	chr12	33302029	33303723	1695	12	33147693	33373185	225493	+	ENSMUSG00000020564	Atxn7l1	Promoter (<=1kb)
Interval_24701	chr12	35055015	35055816	802	12	35047186	35147479	100294	+	ENSMUSG00000020590	Snx13	Intron (ENSMUST00000048519.15/ENSMUSG00000020590.15, intron 1 of 25)
Interval_24900	chr12	41039744	41040234	491	12	41024090	41955588	931499	+	ENSMUSG00000056899	Immp2l	Intron (ENSMUST00000132121.7/ENSMUSG00000056899.10, intron 2 of 6)
Interval_24938	chr12	41592665	41593410	746	12	41024090	41955588	931499	+	ENSMUSG00000056899	Immp2l	Intron (ENSMUST00000132121.7/ENSMUSG00000056899.10, intron 4 of 6)
Interval_24945	chr12	41857257	41857684	428	12	41024090	41955588	931499	+	ENSMUSG00000056899	Immp2l	Intron (ENSMUST00000132121.7/ENSMUSG00000056899.10, intron 6 of 6)
Interval_24950	chr12	41949633	41950266	634	12	41024090	41955588	931499	+	ENSMUSG00000056899	Immp2l	Intron (ENSMUST00000132121.7/ENSMUSG00000056899.10, intron 6 of 6)
Interval_25727	chr12	75352473	75353201	729	12	75308322	75401456	93135	+	ENSMUSG00000046768	Rhoj	Intron (ENSMUST00000118602.7/ENSMUSG00000046768.13, intron 1 of 4)
Interval_25915	chr12	78219104	78219794	691	12	78222286	78226525	4240	-	ENSMUSG00000112302	Gm48226	Distal Intergenic
Interval_26141	chr12	80941710	80942173	464	12	80942673	80945396	2724	-	ENSMUSG00000112880	Gm20337	Distal Intergenic
Interval_26150	chr12	80998415	80999221	807	12	81026808	81186414	159607	+	ENSMUSG00000021136	Smoc1	Distal Intergenic
Interval_27262	chr12	103315820	103316956	1137	12	103310975	103317065	6091	+	ENSMUSG00000096753	Fam181a	Promoter (<=1kb)
Interval_27272	chr12	103358973	103360075	1103	12	103321142	103356001	34860	-	ENSMUSG00000021200	Asb2	Promoter (2-3kb)
Interval_28224	chr12	114059635	114060386	752	12	114059845	114060321	477	-	ENSMUSG00000095642	Ighv14-3	Promoter (<=1kb)
Interval_28354	chr12	117552868	117553828	961	12	117516479	117759737	243259	+	ENSMUSG00000041992	Rapgef5	Intron (ENSMUST00000109691.2/ENSMUSG00000041992.8, intron 3 of 27)
Interval_28365	chr12	117612865	117613093	229	12	117516479	117759737	243259	+	ENSMUSG00000041992	Rapgef5	Intron (ENSMUST00000109691.2/ENSMUSG00000041992.8, intron 8 of 27)
Interval_28369	chr12	117638836	117640025	1190	12	117516479	117759737	243259	+	ENSMUSG00000041992	Rapgef5	Intron (ENSMUST00000109691.2/ENSMUSG00000041992.8, intron 9 of 27)
Interval_28512	chr13	3904548	3904896	349	13	3882018	3918220	36203	-	ENSMUSG00000021215	Net1	Intron (ENSMUST00000091853.10/ENSMUSG00000021215.14, intron 3 of 11)
Interval_28513	chr13	3907285	3908705	1421	13	3882018	3918220	36203	-	ENSMUSG00000021215	Net1	Exon (ENSMUST00000091853.10/ENSMUSG00000021215.14, exon 3 of 12)
Interval_28515	chr13	3968770	3969833	1064	13	3957119	3957242	124	-	ENSMUSG00000093010	Gm22460	Distal Intergenic
Interval_28552	chr13	5953144	5953763	620	13	5915793	6014285	98493	+	ENSMUSG00000113017	Gm46401	Distal Intergenic
Interval_28712	chr13	12105755	12107311	1557	13	11553102	12106945	553844	-	ENSMUSG00000021313	Ryr2	Promoter (<=1kb)
Interval_28911	chr13	17244627	17245710	1084	13	16857472	17695553	838082	-	ENSMUSG00000055137	Sugct	Intron (ENSMUST00000068545.4/ENSMUSG00000055137.6, intron 12 of 13)
Interval_29529	chr13	30834415	30835277	863	13	30813919	30974093	160175	-	ENSMUSG00000021357	Exoc2	Intron (ENSMUST00000102946.7/ENSMUSG00000021357.13, intron 24 of 28)
Interval_30230	chr13	43961254	43962797	1544	13	43948879	43952699	3821	+	ENSMUSG00000113671	Gm2233	Distal Intergenic
Interval_3027	chr1	87032286	87032915	630	1	86703808	87050095	346288	+	ENSMUSG00000053333	Dis3l2	Intron (ENSMUST00000168237.7/ENSMUSG00000053333.15, intron 15 of 21)
Interval_30485	chr13	47366307	47367417	1111	13	47361386	47439554	78169	+	ENSMUSG00000114843	Gm35733	Distal Intergenic
Interval_30623	chr13	49349223	49349702	480	13	49341585	49387026	45442	+	ENSMUSG00000037933	Bicd2	Intron (ENSMUST00000048544.12/ENSMUSG00000037933.15, intron 1 of 6)
Interval_31005	chr13	54424900	54425845	946	13	54429441	54429700	260	-	ENSMUSG00000089341	Gm22668	Distal Intergenic
Interval_31547	chr13	63877052	63877919	868	13	63815240	63900302	85063	+	ENSMUSG00000021470	Ercc6l2	Exon (ENSMUST00000162086.1/ENSMUSG00000021470.17, exon 2 of 4)
Interval_31661	chr13	67547434	67548205	772	13	67538641	67553830	15190	-	ENSMUSG00000095432	Zfp748	Intron (ENSMUST00000181892.7/ENSMUSG00000095432.8, intron 1 of 3)
Interval_31734	chr13	69794335	69795275	941	13	69802395	69816104	13710	+	ENSMUSG00000021598	Med10	Distal Intergenic
Interval_31951	chr13	75598048	75598861	814	13	75644896	75645171	276	+	ENSMUSG00000074800	Gm4149	Distal Intergenic
Interval_31956	chr13	75691386	75692474	1089	13	75691972	75692054	83	+	ENSMUSG00000077337	Gm23012	Promoter (<=1kb)
Interval_32385	chr13	92070239	92070968	730	13	91880400	92131656	251257	-	ENSMUSG00000021708	Rasgrf2	Intron (ENSMUST00000099326.9/ENSMUSG00000021708.16, intron 1 of 33)
Interval_32761	chr13	98852687	98853054	368	13	98839019	98926384	87366	-	ENSMUSG00000009470	Tnpo1	Exon (ENSMUST00000109399.8/ENSMUSG00000009470.16, exon 19 of 24)
Interval_32868	chr13	100436687	100437233	547	13	100407764	100452869	45106	-	ENSMUSG00000021640	Naip1	Intron (ENSMUST00000022142.5/ENSMUSG00000021640.5, intron 4 of 14)
Interval_33332	chr13	111345113	111346557	1445	13	111361203	111361675	473	-	ENSMUSG00000081277	Gm15285	Distal Intergenic
Interval_33442	chr13	112287743	112288890	1148	13	112288451	112384002	95552	+	ENSMUSG00000049985	Ankrd55	Promoter (<=1kb)
Interval_33689	chr13	117227272	117227744	473	13	117208536	117274415	65880	+	ENSMUSG00000021728	Emb	Intron (ENSMUST00000022242.7/ENSMUSG00000021728.7, intron 1 of 8)
Interval_33810	chr14	7944171	7945283	1113	14	7817957	7951588	133632	+	ENSMUSG00000025278	Flnb	Intron (ENSMUST00000052678.8/ENSMUSG00000025278.8, intron 43 of 45)
Interval_33813	chr14	7963618	7965890	2273	14	7964533	7994573	30041	-	ENSMUSG00000025279	Dnase1l3	3' UTR
Interval_35025	chr14	34682342	34683135	794	14	34673928	34747983	74056	+	ENSMUSG00000041408	Wapl	Intron (ENSMUST00000048263.13/ENSMUSG00000041408.16, intron 2 of 18)
Interval_35586	chr14	54272140	54272935	796	14	54254188	54270637	16450	+	ENSMUSG00000040997	Abhd4	Distal Intergenic
Interval_35897	chr14	59418275	59418644	370	14	59402009	59440884	38876	-	ENSMUSG00000071350	Setdb2	Intron (ENSMUST00000161459.7/ENSMUSG00000071350.12, intron 6 of 13)
Interval_36110	chr14	62867490	62867952	463	14	62837678	62961509	123832	+	ENSMUSG00000014547	Wdfy2	Promoter (1-2kb)
Interval_36111	chr14	62871890	62872666	777	14	62837678	62961509	123832	+	ENSMUSG00000014547	Wdfy2	Promoter (2-3kb)
Interval_36386	chr14	66228805	66229394	590	14	66153257	66281052	127796	-	ENSMUSG00000059456	Ptk2b	Intron (ENSMUST00000022622.13/ENSMUSG00000059456.13, intron 1 of 30)
Interval_36490	chr14	68735682	68737150	1469	14	68731954	68732356	403	+	ENSMUSG00000114641	Gm46476	Distal Intergenic
Interval_36496	chr14	68909079	68909828	750	14	68874835	68875129	295	+	ENSMUSG00000114679	Gm47256	Distal Intergenic
Interval_36505	chr14	69028679	69030281	1603	14	69029238	69041804	12567	+	ENSMUSG00000014813	Stc1	Promoter (<=1kb)
Interval_36840	chr14	74888326	74889632	1307	14	74754675	74947876	193202	-	ENSMUSG00000068015	Lrch1	Intron (ENSMUST00000088970.5/ENSMUSG00000068015.6, intron 1 of 19)
Interval_36861	chr14	75009603	75011554	1952	14	75016027	75052532	36506	+	ENSMUSG00000034959	Rubcnl	Distal Intergenic
Interval_37572	chr14	105783246	105783845	600	14	105816908	105817000	93	+	ENSMUSG00000092664	Gm22406	Distal Intergenic
Interval_37959	chr14	121760165	121761218	1054	14	121542046	121797837	255792	-	ENSMUSG00000025558	Dock9	Intron (ENSMUST00000100299.9/ENSMUSG00000025558.15, intron 1 of 52)
Interval_38338	chr15	9533335	9533830	496	15	9505788	9530176	24389	-	ENSMUSG00000003882	Il7r	Distal Intergenic
Interval_38411	chr15	11532584	11533870	1287	15	11625097	11630746	5650	-	ENSMUSG00000115076	Gm49106	Distal Intergenic
Interval_38412	chr15	11534706	11535208	503	15	11625097	11630746	5650	-	ENSMUSG00000115076	Gm49106	Distal Intergenic
Interval_38606	chr15	25904293	25905165	873	15	25843180	25973687	130508	+	ENSMUSG00000022270	Retreg1	Intron (ENSMUST00000022881.13/ENSMUSG00000022270.15, intron 3 of 8)
Interval_38683	chr15	27796571	27797196	626	15	27730651	28025848	295198	-	ENSMUSG00000022263	Trio	Intron (ENSMUST00000090247.5/ENSMUSG00000022263.9, intron 34 of 56)
Interval_38820	chr15	31539531	31540090	560	15	31455891	31531053	75163	-	ENSMUSG00000039100	Marchf6	Distal Intergenic
Interval_38974	chr15	36098566	36099267	702	15	36009479	36140400	130922	-	ENSMUSG00000037627	Rgs22	Intron (ENSMUST00000172831.7/ENSMUSG00000037627.15, intron 8 of 27)
Interval_38975	chr15	36111120	36112134	1015	15	36009479	36140400	130922	-	ENSMUSG00000037627	Rgs22	Intron (ENSMUST00000172831.7/ENSMUSG00000037627.15, intron 3 of 27)
Interval_39054	chr15	36863309	36863977	669	15	36870501	36879816	9316	-	ENSMUSG00000072618	Gm10384	Distal Intergenic
Interval_39116	chr15	37908633	37909752	1120	15	37892995	37899716	6722	-	ENSMUSG00000115326	Gm35019	Distal Intergenic
Interval_39136	chr15	38181556	38182290	735	15	38184009	38202217	18209	-	ENSMUSG00000115680	Gm35167	Distal Intergenic
Interval_39551	chr15	57773621	57774585	965	15	57694665	57839832	145168	+	ENSMUSG00000071757	Zhx2	Intron (ENSMUST00000096430.10/ENSMUSG00000071757.10, intron 2 of 3)
Interval_39612	chr15	58373981	58374399	419	15	58341363	58389383	48021	-	ENSMUSG00000055114	Anxa13	Distal Intergenic
Interval_39613	chr15	58382536	58382884	349	15	58341363	58389383	48021	-	ENSMUSG00000055114	Anxa13	Distal Intergenic
Interval_39614	chr15	58383099	58384672	1574	15	58341363	58389383	48021	-	ENSMUSG00000055114	Anxa13	Distal Intergenic
Interval_39617	chr15	58400181	58401703	1523	15	58405824	58411326	5503	+	ENSMUSG00000115576	Gm2675	Distal Intergenic
Interval_39750	chr15	59528581	59529325	745	15	59374247	59601684	227438	+	ENSMUSG00000059586	Nsmce2	Intron (ENSMUST00000168722.1/ENSMUSG00000059586.9, intron 4 of 4)
Interval_41050	chr15	79950098	79951072	975	15	79915807	79971119	55313	-	ENSMUSG00000053411	Cbx7	Intron (ENSMUST00000128931.7/ENSMUSG00000053411.16, intron 1 of 5)
Interval_41753	chr15	86110219	86111315	1097	15	86057695	86137634	79940	+	ENSMUSG00000035900	Gramd4	Intron (ENSMUST00000088931.9/ENSMUSG00000035900.18, intron 3 of 18)
Interval_41763	chr15	86158263	86158472	210	15	86139128	86186141	47014	-	ENSMUSG00000035891	Cerk	Promoter (<=1kb)
Interval_42207	chr15	95887324	95888078	755	15	95790843	95974751	183909	+	ENSMUSG00000064210	Ano6	Intron (ENSMUST00000071874.6/ENSMUSG00000064210.6, intron 2 of 19)
Interval_42279	chr15	96608573	96608984	412	15	96571418	96642913	71496	-	ENSMUSG00000023169	Slc38a1	Intron (ENSMUST00000100262.2/ENSMUSG00000023169.14, intron 4 of 15)
Interval_42825	chr15	101288870	101289278	409	15	101284272	101290945	6674	+	ENSMUSG00000037204	Atg101	Intron (ENSMUST00000048393.6/ENSMUSG00000037204.6, intron 2 of 2)
Interval_42826	chr15	101292885	101293756	872	15	101293212	101297426	4215	+	ENSMUSG00000075408	Smim41	Promoter (<=1kb)
Interval_42908	chr15	102150114	102151301	1188	15	102150526	102163469	12944	+	ENSMUSG00000023045	Soat2	Promoter (<=1kb)
Interval_43542	chr16	11045081	11046022	942	16	10959275	11066157	106883	-	ENSMUSG00000022500	Litaf	Intron (ENSMUST00000162323.1/ENSMUSG00000022500.14, intron 1 of 2)
Interval_43547	chr16	11058708	11059202	495	16	10959275	11066157	106883	-	ENSMUSG00000022500	Litaf	Intron (ENSMUST00000162323.1/ENSMUSG00000022500.14, intron 1 of 2)
Interval_43728	chr16	13639221	13640459	1239	16	13537960	13668170	130211	-	ENSMUSG00000022685	Parn	Exon (ENSMUST00000058884.8/ENSMUSG00000022685.8, exon 13 of 24)
Interval_43898	chr16	17100987	17101423	437	16	17086555	17111257	24703	-	ENSMUSG00000022771	Ppil2	Promoter (2-3kb)
Interval_43994	chr16	17916910	17917373	464	16	17913107	17915059	1953	-	ENSMUSG00000022738	Gsc2	Promoter (1-2kb)
Interval_44118	chr16	19106501	19106963	463	16	19051367	19106749	55383	+	ENSMUSG00000106567	2010309G21Rik	Exon (ENSMUST00000198927.1/ENSMUSG00000106567.1, exon 4 of 4)
Interval_44450	chr16	23324991	23326264	1274	16	23224740	23360350	135611	+	ENSMUSG00000022885	St6gal1	Intron (ENSMUST00000023601.13/ENSMUSG00000022885.15, intron 4 of 7)
Interval_44624	chr16	25177932	25179489	1558	16	25286817	25422344	135528	+	ENSMUSG00000048399	Tprg	Distal Intergenic
